Variety,,Color
Pinot Noir,13272,Red
Chardonnay,11753,White
Cabernet Sauvignon,9472,Red
Red Blend,8946,Red
Bordeaux-style Red Blend,6915,Red
Riesling,5189,White
Sauvignon Blanc,4967,White
Syrah,4142,Red
Rosé,3564,Rose
Merlot,3102,Red
Nebbiolo,2804,Red
Zinfandel,2714,Red
Sangiovese,2707,Red
Malbec,2652,Red
Portuguese Red,2466,Red
White Blend,2360,White
Sparkling Blend,2153,could be either
Tempranillo,1810,Red
Rhône-style Red Blend,1471,Red
Pinot Gris,1455,White
Champagne Blend,1396,White
Cabernet Franc,1353,Red
Grüner Veltliner,1345,White
Portuguese White,1159,White
Bordeaux-style White Blend,1066,White
Pinot Grigio,1052,White
Gamay,1025,Red
Gewürztraminer,1012,White
Viognier,996,White
Shiraz,836,Red
Petite Sirah,770,Red
Sangiovese Grosso,751,Red
Barbera,721,Red
Glera,709,White
Port,668,Red
Grenache,651,Red
"Corvina, Rondinella, Molinara",619,Red
Chenin Blanc,591,White
Tempranillo Blend,588,Red
Carmenère,575,Red
Albariño,477,White
Pinot Blanc,442,White
Rhône-style White Blend,425,White
Nero d'Avola,365,Red
Aglianico,359,Red
Moscato,358,White
Garnacha,326,Red
Sauvignon,316,White
Verdejo,294,White
Melon,280,White
Garganega,270,White
Petit Verdot,269,Red
Meritage,260,could be either
Torrontés,250,White
Prosecco,236,White
Blaufränkisch,232,Red
Vermentino,232,White
Mourvèdre,229,Red
Primitivo,222,Red
Montepulciano,215,Red
Zweigelt,209,Red
Touriga Nacional,200,Red
Pinot Nero,181,Red
G-S-M,181,Red
Dolcetto,180,Red
Tannat,178,Red
Mencía,178,Red
Roussanne,168,White
Tinta de Toro,166,Red
Verdicchio,164,White
Turbiana,157,White
Pinot Bianco,154,White
Fiano,151,White
Monastrell,147,Red
Vernaccia,138,White
Pinotage,137,Red
Alvarinho,137,White
Grillo,137,White
Sémillon (Semillon?),135,White
Muscat,132,White
Grenache Blanc,131,White
Friulano,122,White
Greco,121,White
Nerello Mascalese,117,Red
Cabernet Sauvignon-Merlot,117,Red
Viura,107,White
Bonarda,105,Red
Sagrantino,104,Red
Rosato,103,Pink
Cabernet Sauvignon-Syrah,102,Red
Sherry,100,White
Tinto Fino,100,Red
Malbec-Merlot,96,Red
St. Laurent,92,Red
Falanghina,89,White
Ribolla Gialla,87,White
Arneis,86,White
Godello,81,White
Negroamaro,80,Red
Cabernet Blend,80,Red
